"peak","THL60-Rep1","THL60-Rep2","THL60-Rep3","T3h-Neu-Rep1","T3h-Neu-Rep2","T3h-Neu-Rep3","T6h-Neu-Rep1","T6h-Neu-Rep2","T6h-Neu-Rep3","T12h-Neu-Rep1","T12h-Neu-Rep2","T12h-Neu-Rep3"
"chr1_778490_779020",61,36,19,2,20,24,21,44,0,6,4,58
"chr1_826840_828043",75,52,31,0,32,51,22,58,0,10,1,75
"chr1_958937_959538",15,7,8,1,13,14,7,14,2,2,1,16
"chr1_1059206_1059923",9,13,5,3,11,17,9,15,1,3,1,25
"chr1_1115911_1116627",37,30,22,2,25,40,28,48,0,9,3,74
"chr1_1231683_1232396",34,30,19,4,20,30,22,44,0,6,2,49
"chr1_1273585_1274511",22,18,6,2,13,17,12,17,3,2,1,37
"chr1_1307847_1308677",57,41,15,1,29,37,35,54,1,7,3,73
"chr1_1324343_1325266",24,18,10,1,13,24,17,25,0,4,1,36
"chr1_1375094_1375698",57,34,18,1,24,50,32,57,0,10,3,83
"chr1_1398972_1399916",42,37,15,0,19,49,22,50,1,8,3,65
"chr1_1406996_1407553",23,15,5,4,12,25,9,19,4,4,1,27
"chr1_1471401_1471999",16,12,7,4,9,19,14,18,1,3,1,31
"chr1_1511519_1512363",33,42,14,0,23,31,21,36,0,8,1,59
"chr1_1573965_1575175",46,26,12,3,22,27,18,30,1,4,2,44
"chr1_1615097_1616051",49,38,18,6,27,35,27,47,0,7,3,64
"chr1_1658555_1659453",76,48,27,3,25,47,38,57,1,12,2,82
"chr1_1692453_1693713",79,51,24,2,36,51,42,88,1,22,4,112
"chr1_1723906_1724782",62,38,24,1,27,36,31,47,0,12,5,74
"chr1_1745747_1746979",62,42,22,2,31,50,27,58,0,17,5,79
"chr1_1764015_1764691",14,13,8,2,12,23,3,16,2,2,0,22
"chr1_1778700_1779249",18,17,6,1,6,18,8,17,0,3,2,30
"chr1_1780061_1780755",16,9,5,1,15,19,5,17,0,4,0,30
"chr1_1908618_1909622",32,15,12,4,18,25,8,30,2,6,2,40
"chr1_1919076_1919805",58,40,24,1,23,43,28,53,0,11,3,79
"chr1_2132995_2133675",36,20,18,0,20,26,23,33,0,8,3,62
"chr1_2150999_2151669",24,17,6,0,16,30,7,14,0,2,1,27
"chr1_2189315_2189988",18,16,7,0,11,21,7,12,1,6,1,26
"chr1_2204568_2205068",15,10,4,2,6,8,5,13,0,1,0,13
"chr1_2227491_2228085",27,11,11,1,16,21,14,29,0,4,2,38
"chr1_2234237_2234852",21,13,12,0,20,29,9,20,0,4,1,36
"chr1_2255352_2256398",11,15,5,4,24,31,11,19,1,2,1,34
"chr1_2290463_2291164",27,18,8,1,20,25,9,18,1,4,2,35
"chr1_2391303_2391987",53,31,23,4,26,44,37,64,2,9,4,76
"chr1_2412326_2412934",28,18,10,4,15,27,19,32,1,5,0,38
"chr1_2586146_2586845",24,21,10,14,12,20,25,33,4,9,1,43
"chr1_3624534_3625152",31,33,15,5,24,36,24,43,1,5,1,61
"chr1_3649804_3650381",12,10,6,3,11,14,7,10,2,4,0,17
"chr1_3676817_3677899",17,14,5,3,16,23,4,14,1,2,1,28
"chr1_3856903_3857765",52,38,17,0,17,41,17,40,0,9,3,70
"chr1_3900139_3901556",84,54,28,0,36,70,39,67,0,17,4,109
"chr1_4007384_4008019",18,12,6,3,6,13,7,12,0,4,2,20
"chr1_5770868_5771460",7,7,5,0,15,15,2,8,1,3,1,17
"chr1_5975052_5976022",19,14,8,2,16,28,4,10,1,2,2,23
"chr1_5992180_5992848",62,50,27,1,35,58,40,65,1,11,5,93
"chr1_6025886_6026507",21,15,10,1,15,26,12,17,0,4,0,35
"chr1_6028036_6028758",29,14,9,1,13,18,8,16,0,3,1,26
"chr1_6199224_6200005",31,20,10,0,28,46,13,30,1,6,2,40
"chr1_6392952_6394092",25,25,11,5,20,22,15,31,3,2,1,51
"chr1_6554266_6554785",10,7,3,0,14,12,4,21,0,1,1,25
"chr1_6579634_6580279",19,18,9,2,19,31,19,30,3,5,3,38
"chr1_6602048_6603358",31,27,10,1,24,42,16,32,2,5,3,56
"chr1_6613288_6613859",47,39,16,1,27,35,28,59,0,13,3,71
"chr1_6701422_6702119",26,13,8,2,12,18,8,20,0,3,2,38
"chr1_6743306_6744251",13,12,10,2,11,17,5,8,1,1,2,18
"chr1_6784540_6785499",107,94,40,1,50,87,60,113,2,12,4,147
"chr1_7648938_7649566",9,10,8,2,15,20,3,8,2,3,1,23
"chr1_7771055_7771670",13,12,6,3,9,16,10,16,0,4,0,23
"chr1_7942199_7942869",21,10,5,0,13,18,6,14,0,1,0,19
"chr1_7953945_7954511",22,19,13,0,16,24,13,24,1,4,1,27
"chr1_7961288_7961886",45,31,21,0,31,41,20,41,0,10,1,73
"chr1_8026116_8026422",3,4,3,0,5,6,2,7,0,0,0,11
"chr1_8525653_8526357",25,19,9,2,21,24,10,17,1,4,2,41
"chr1_8817373_8818014",17,7,5,1,12,16,10,13,0,1,0,16
"chr1_8878465_8879355",57,52,29,1,33,45,37,69,0,9,3,94
"chr1_9234150_9235226",14,24,13,3,17,28,19,33,2,4,1,28
"chr1_9426169_9426821",11,8,8,3,15,19,9,14,1,6,1,24
"chr1_9428695_9429359",48,22,8,2,15,27,14,33,1,9,2,51
"chr1_9539001_9540217",39,30,18,1,19,45,21,45,1,5,3,54
"chr1_9588203_9588986",17,12,7,1,14,19,12,18,1,3,1,17
"chr1_9629386_9630060",10,6,6,1,8,10,3,4,1,1,0,11
"chr1_9910226_9910907",56,28,23,2,31,39,30,52,1,7,1,75
"chr1_9943044_9943695",18,13,4,3,13,15,10,15,1,4,3,21
"chr1_10032484_10033224",47,34,24,3,28,41,27,67,0,12,2,90
"chr1_10210104_10210687",20,15,8,1,16,22,9,33,0,6,1,35
"chr1_10398494_10399207",43,21,14,2,26,53,24,49,1,8,1,71
"chr1_10430065_10431009",32,17,9,0,17,32,16,24,0,6,3,40
"chr1_10472170_10472835",22,10,5,1,14,20,5,18,1,3,1,30
"chr1_11012110_11013105",32,24,13,1,25,41,17,44,1,9,4,62
"chr1_11059649_11060511",14,13,8,0,19,26,12,19,0,3,0,25
"chr1_11099104_11100098",22,14,7,2,17,35,9,19,3,3,0,33
"chr1_11261914_11263022",39,31,18,0,31,41,21,45,0,8,3,53
"chr1_11272933_11273948",50,33,12,1,21,35,15,37,1,6,3,57
"chr1_11680400_11681575",21,17,9,3,16,25,9,13,4,3,1,34
"chr1_11719278_11720152",15,14,6,3,16,31,6,15,0,1,1,29
"chr1_11735753_11736952",32,21,12,4,26,33,15,34,2,4,2,43
"chr1_11740748_11741255",8,6,5,2,10,15,7,8,3,1,0,10
"chr1_11805489_11806384",83,48,30,4,28,44,27,72,2,9,4,82
"chr1_11907681_11908546",15,11,7,3,10,28,7,15,1,5,1,27
"chr1_11926155_11926715",14,10,5,0,13,15,8,16,0,3,1,21
"chr1_11979826_11980701",51,35,29,4,36,50,24,47,0,7,2,75
"chr1_12019023_12019696",30,24,11,0,22,33,22,40,0,9,3,45
"chr1_12143563_12144111",13,8,5,1,13,16,4,10,0,2,0,20
"chr1_12153158_12153685",8,7,3,1,14,11,5,7,0,3,0,10
"chr1_12161525_12162247",13,11,7,2,14,24,2,13,0,2,0,28
"chr1_12196308_12197131",15,10,6,1,15,15,11,11,0,4,0,25
"chr1_13723668_13724189",12,12,4,0,9,14,3,7,0,2,1,18
"chr1_13748623_13750094",21,23,12,1,23,28,15,29,0,9,3,41
"chr1_15345932_15346234",5,4,4,0,5,9,4,7,0,2,0,10
"chr1_15411520_15412061",16,7,6,0,11,17,7,13,0,2,1,16
