GC	start	end	Chromosome	type	Entrezgene
47.70	3307	4262	MT	protein_coding	4535
42.99	4470	5511	MT	protein_coding	4536
46.24	5904	7445	MT	protein_coding	4512
49.28	7446	7514	MT	Mt_tRNA	113219467
46.20	7586	8269	MT	protein_coding	4513
39.61	8366	8572	MT	protein_coding	4509
44.20	8527	9207	MT	protein_coding	4508
46.56	9207	9990	MT	protein_coding	4514
40.17	10059	10404	MT	protein_coding	4537
43.10	10470	10766	MT	protein_coding	4539
44.27	10760	12137	MT	protein_coding	4538
44.92	12337	14148	MT	protein_coding	4540
42.67	14149	14673	MT	protein_coding	4541
46.28	14747	15887	MT	protein_coding	4519
36.73	108007	139659	GL000213.1	protein_coding	100288966
45.64	53594	115055	GL000194.1	protein_coding	727764
57.52	112025	112177	GL000220.1	rRNA	100008587
37.57	42939	49164	GL000195.1	protein_coding	389831
57.27	41444	41876	KI270726.1	protein_coding	102723407
49.00	17234	19833	KI270728.1	protein_coding	102723655
49.00	933862	936467	KI270728.1	protein_coding	102723713
57.52	128877	129029	KI270733.1	rRNA	109864274
51.41	125237	131153	HG1309_PATCH	lncRNA	100507642
56.58	150608	151701	HG1309_PATCH	lncRNA	105375115
59.41	168259	235989	HG1309_PATCH	protein_coding	56975
51.16	39089	52538	HG1395_PATCH	protein_coding	641700
55.27	60573	64567	HG1395_PATCH	protein_coding	111064649
53.56	65328	72730	HG1395_PATCH	protein_coding	340061
40.21	458991	460328	HG1485_PATCH	processed_pseudogene	440888
48.15	7154	8071	HG151_NOVEL_TEST	protein_coding	390174
45.18	60669	61653	HG151_NOVEL_TEST	protein_coding	283189
37.53	166410	189093	HG151_NOVEL_TEST	lncRNA	101927120
41.16	7803996	7810683	Y	lncRNA	83867
47.38	9706824	9715262	Y	lncRNA	100101120
47.43	22439593	22441458	Y	lncRNA	84672
51.07	9910798	9911962	Y	lncRNA	252955
47.39	6449468	6457906	Y	lncRNA	246122
41.46	22490397	22514637	Y	protein_coding	9081
45.53	9717653	9721296	Y	lncRNA	252953
38.76	12537650	12860839	Y	protein_coding	64595
38.76	12537650	12860839	Y	protein_coding	8287
